BHID,FROM,TO,N_SAMPLE,Au_ppm,Ag_ppm,Cu_%,Zn_ppm,Mo_ppm,As_ppm,Sb_ppm,Pb_ppm
DEEP-001,0,1.95,SKILL-000001,0.04,1.05,0.008,15.8,-,-,-,-
DEEP-001,1.95,3.55,SKILL-000002,0.078,2.55,0.004,14.45,-,-,-,-
DEEP-001,3.55,5.55,SKILL-000003,0.039,2.35,0.009,16.6,-,-,-,-
DEEP-001,5.55,7.55,SKILL-000004,0.043,2.55,0.008,14.75,-,-,-,-
DEEP-001,7.55,9.55,SKILL-000005,0.073,9,0.002,8.05,-,-,-,-
DEEP-001,9.55,11.55,SKILL-000006,0.033,3,0.004,8.55,-,-,-,-
DEEP-001,11.55,13.55,SKILL-000007,0.047,3.85,0.007,16.4,-,-,-,-
DEEP-001,13.55,15.55,SKILL-000008,0.035,1.7,0.006,17.3,-,-,-,-
DEEP-001,15.55,17.55,SKILL-000009,0.032,2.25,0.008,15.6,-,-,-,-
DEEP-001,17.55,19.32,SKILL-000010,0.039,1.95,0.01,43.05,-,-,-,-
DEEP-001,19.32,21.1,SKILL-000011,0.039,1.65,0.009,42.95,-,-,-,-
DEEP-001,21.1,21.9,SKILL-000012,0.2,7.45,0.005,12.45,-,-,-,-
DEEP-001,21.9,23.9,SKILL-000013,0.031,0.7,0.007,9.8,-,-,-,-
DEEP-001,23.9,25.9,SKILL-000014,0.03,0.85,0.007,10.95,-,-,-,-
DEEP-001,25.9,27.9,SKILL-000015,0.029,1.1,0.014,44.85,3,-,-,-
DEEP-001,27.9,30.2,SKILL-000016,0.032,1.8,0.017,67.25,-,-,-,-
DEEP-001,30.2,32,SKILL-000017,0.043,3.25,0.007,14.55,-,-,-,-
DEEP-001,32,33.4,SKILL-000018,0.036,1.6,0.019,10.45,-,-,-,-
DEEP-001,33.4,35.25,SKILL-000019,0.06,4.05,0.011,9.3,-,-,-,-
DEEP-001,35.25,37.1,SKILL-000020,0.053,3.35,0.01,30.3,-,-,-,-
DEEP-001,37.1,38.86,SKILL-000021,0.038,1.6,0.012,88.65,-,-,-,-
DEEP-001,38.86,40.62,SKILL-000022,0.037,1.25,0.01,25,-,-,-,-
DEEP-001,40.62,42.4,SKILL-000023,0.032,0.9,0.01,13,-,-,-,-
DEEP-001,42.4,44.65,SKILL-000024,0.048,0.65,0.011,17.65,-,-,-,-
DEEP-001,44.65,46.9,SKILL-000025,0.045,1.1,0.011,17.15,-,-,-,-
DEEP-001,46.9,47.8,SKILL-000026,0.041,7.1,0.005,9.9,-,-,-,-
DEEP-001,47.8,50.8,SKILL-000027,0.044,2.4,0.027,13.45,-,-,-,-
DEEP-001,50.8,52.45,SKILL-000028,0.105,14.5,0.017,10.85,-,-,-,-
DEEP-001,52.45,54.1,SKILL-000029,0.08,11.7,0.034,9.65,-,-,-,-
DEEP-001,54.1,55.4,SKILL-000030,0.045,4.5,0.055,13.8,3,-,-,-
DEEP-001,55.4,56.5,SKILL-000031,0.073,11.95,0.029,14.15,-,-,-,-
