BHID,XCOLLAR,YCOLLAR,ZCOLLAR,ENDDEPTH
DEEP-001,347099.77,8820068.65,4328.059,326.2
DEEP-002,347184.2,8820197.22,4341.502,344.8
DEEP-003,347211.43,8820157.89,4346.472,346.5
DEEP-004,347144.69,8820384.65,4317.601,326
DEEP-005,347568.445,8820208.4,4327.313,401.8
DEEP-006,347143.14,8820386.74,4317.528,501
DEEP-007,347566.59,8820207.193,4327.076,369.8
DEEP-008,347143,8820386.93,4317.618,512.3
DEEP-009,347368.26,8820371.05,4323.459,531.2
DEEP-010,347072.28,8820470.35,4306.041,523.2
DEEP-011,346963.71,8820516.76,4295.695,525.6
DEEP-012,347071.59,8820469.63,4305.442,525
DEEP-013,346960.67,8820513.7,4295.716,97.6
DEEP-013B,346960.67,8820513.95,4295.568,514.6
DEEP-014,347365.37,8820371.9,4323.564,512.5
DEEP-015,347069.43,8820474.16,4305.349,94
DEEP-015A,347070.66,8820476.35,4305.002,87.8
DEEP-016,347248.31,8820609.62,4300.891,502.3
DEEP-017,347390.1,8820694.42,4303.254,139
DEEP-017A,347381.95,8820684.27,4304.031,926.1
DEEP-018,347116.59,8820720.07,4288.313,273.4
DEEP-018A,347117.18,8820719.7,4288.435,221.7
DEEP-019,347248.97,8820609.81,4300.638,137
DEEP-019A,347247.96,8820603.27,4301.058,554.3
DEEP-020,347552,8820965.73,4293.829,100.1
DEEP-020A,347551.42,8820965.55,4293.948,502.1
DEEP-021,347078.03,8821348.27,4275.602,572.3
DEEP-022,346962.16,8821205.17,4277.414,485.2
DEEP-023,347115.33,8820719.9,4288.724,85.1
DEEP-023A,347157.9,8820706.31,4290.132,1051.8
DEEP-024,347222.06,8820867.03,4283.59,968.9
DEEP-025,347081.75,8821344.83,4275.779,570.5
DEEP-026,346887.21,8820668.03,4284.595,74
DEEP-026A,346886.53,8820668.57,4284.994,248.3
DEEP-027D,347226.97,8820869.61,4283.677,321.5
DEEP-027,347226.968,8820869.645,4283.792,990.65
DEEP-028,346888.82,8820669.33,4284.973,944.3
DEEP-029,347074.1,8820478.41,4304.968,1089.1
DEEP-030,347146.811,8820390.322,4317.127,946.9
DEEP-031,346956.323,8820514.075,4295.819,689.6
DEEP-032,346886.579,8820667.947,4284.689,839.1
DEEP-033,347370.787,8820366.624,4322.849,1003.6
DEEP-034,346993.163,8820839.931,4279.41,1019.5
DEEP-035,347063.92,8820549.03,4298.474,131.1
DEEP-035A,347065.493,8820545.945,4298.53,108
DEEP-036,347143.649,8820540.226,4302.567,1016.1
DEEP-037,346824.583,8820404.132,4296.409,834
DEEP-038,346755.32,8820487.023,4289.576,674.3
DEEP-039,347204.86,8820591.047,4299.935,104.2
DEEP-039A,347208.861,8820582.727,4300.772,782.2
DEEP-040,347133.754,8820659.984,4292.394,1031.2
DEEP-041,347119.916,8820497.564,4304.971,653.2
DEEP-042,346901.55,8820462.687,4296.424,1010.2
DEEP-043,347012.422,8820429.932,4305.01,674.4
DEEP-044,347295.191,8820665.276,4296.744,1040.2
DEEP-045,347188.309,8820509.306,4306.751,689
DEEP-046,347268.081,8820577.991,4302.738,851.2
DEEP-047,347279.302,8820718.727,4293.153,1019.3
DEEP-048,347187.737,8820508.917,4306.336,1010
DEEP-049,347085.877,8820557.621,4298.049,123.2
DEEP-049A,347092.819,8820561.473,4298.098,650.5
DEEP-050,347202.614,8820654.533,4294.495,683.3
DEEP-051,347024.379,8820557.458,4296.263,800
DEEP-052,347026.762,8820508.23,4299.879,755.2
DEEP-053,347349.324,8820570.314,4308.131,677.1
DEEP-054,347208.546,8820387.958,4320.825,680.2
DEEP-055,346973.703,8820460.601,4299.902,127.1
DEEP-055A,346976.23,8820467.119,4299.703,1007.2
DEEP-056,347230.427,8820744.077,4288.379,698.2
DEEP-057,347061.28,8820667.37,4290.405,778.7
DEEP-058,347349.519,8820570.397,4307.398,145
DEEP-058A,347349.519,8820570.397,4307.398,233.8
