BHID,AT,AZ,DIP
DEEP-001,0,74.055,59.579
DEEP-001,326.2,74.055,59.579
DEEP-002,0,244.78,60.968
DEEP-002,344.8,244.78,60.968
DEEP-003,0,79.236,63.83
DEEP-003,346.5,79.236,63.83
DEEP-004,0,78.751,58.995
DEEP-004,326,78.751,58.995
DEEP-005,0,40.821,60.499
DEEP-005,401.8,40.821,60.499
DEEP-006,0,36.949,59.677
DEEP-006,501,36.949,59.677
DEEP-007,0,270.92,58.002
DEEP-007,369.8,270.92,58.002
DEEP-008,0,1.104,59.575s
DEEP-008,512.3,1.104,59.575
DEEP-009,0,303.028,57.976
DEEP-009,531.2,303.028,57.976
DEEP-010,0,38.673,62.108
DEEP-010,523.2,38.673,62.108
DEEP-011,0,38.161,61.359
DEEP-011,525.6,38.161,61.359
DEEP-012,0,161.158,60.919
DEEP-012,525,161.158,60.919
DEEP-013,0,179.643,59.744
DEEP-013,97.6,179.643,59.744
DEEP-013B,0,178.829,70.436
DEEP-013B,35,179.9,70.9
DEEP-013B,65,181.4,70.6
DEEP-013B,95,182.1,70.6
DEEP-013B,125,182.3,70.7
DEEP-013B,155,183.2,71.3
DEEP-013B,185,184.8,71
DEEP-013B,215,186.7,70.5
DEEP-013B,245,187.6,70.5
DEEP-013B,275,187.5,70.4
DEEP-013B,305,187.7,70.9
DEEP-013B,335,188.5,71.4
DEEP-013B,365,187.5,70.3
DEEP-013B,395,186.7,69.9
DEEP-013B,425,187.2,69.8
DEEP-013B,455,186.8,69.9
DEEP-013B,485,187,70
DEEP-013B,514.6,186.9,70.2
DEEP-014,0,354.518,60.858
DEEP-014,15,355.9,63.1
DEEP-014,30,355.9,62.8
DEEP-014,45,354.9,63.1
DEEP-014,60,354.3,63.2
DEEP-014,75,354.3,63.2
DEEP-014,90,354.2,63.4
DEEP-014,105,354,63.7
DEEP-014,120,354.5,64
DEEP-014,135,354.2,63.7
DEEP-014,150,354.3,63.7
DEEP-014,165,354.4,63.7
DEEP-014,180,354.1,63.6
DEEP-014,195,354.3,63.5
DEEP-014,210,354.8,63.5
DEEP-014,225,355.8,63.4
DEEP-014,240,355.2,63.3
DEEP-014,255,355.7,63.1
DEEP-014,270,355.1,63
DEEP-014,285,355.3,62.9
DEEP-014,300,355.1,62.9
DEEP-014,315,355.8,63.7
DEEP-014,330,355.7,63.3
DEEP-014,345,355.9,63.3
DEEP-014,360,355.7,63.1
DEEP-014,375,355.5,63.2
DEEP-014,390,355.4,63.3
DEEP-014,405,355.8,63.1
DEEP-014,420,354.6,63.4
DEEP-014,435,354.4,63.7
DEEP-014,450,354.3,63.8
DEEP-014,467,354.9,63.6
DEEP-014,482,354.4,63.3
DEEP-014,497,354.7,63.8
DEEP-014,512.5,354.3,63.9
DEEP-015,0,0,90
DEEP-015,94,0,90
DEEP-015A,0,0,90
DEEP-015A,87.8,0,90
DEEP-016,0,0,90
DEEP-016,30,321.6,89.8
DEEP-016,60,293.9,89.7
DEEP-016,90,7.3,89.8
DEEP-016,120,315.4,89.8
DEEP-016,150,324.6,89
DEEP-016,180,305,89.4
DEEP-016,210,31.1,89
DEEP-016,240,351.6,89.2
DEEP-016,270,345.3,89
DEEP-016,300,318.9,88.9
DEEP-016,330,314.2,88.8
DEEP-016,360,321.9,88.9
DEEP-016,390,329.8,88.8
DEEP-016,420,312.7,88.8
DEEP-016,450,314.7,88.7
DEEP-016,480,306.1,88.8
DEEP-016,502.3,306.1,88.8
DEEP-017,0,0,90
DEEP-017,139,0,90
DEEP-017A,0,0,90
DEEP-017A,209,158,88.9
DEEP-017A,239,151.7,89.3
DEEP-017A,269,155.1,89.1
DEEP-017A,299,148.9,89
DEEP-017A,329,170.5,88.8
DEEP-017A,359,163.9,89.1
DEEP-017A,389,160.5,88.9
DEEP-017A,419,173.7,88.9
DEEP-017A,449,184.6,88.5
DEEP-017A,479,188,88.2
DEEP-017A,509,194.6,88.6
DEEP-017A,539,173.8,89.3
DEEP-017A,569,168.4,89.5
DEEP-017A,599,152.9,89.4
DEEP-017A,625,126.4,89.3
DEEP-017A,655,117.5,89.2
DEEP-017A,685,134.5,89.3
DEEP-017A,715,134.4,89.6
DEEP-017A,745,153.7,89.7
DEEP-017A,775,121.2,89.2
DEEP-017A,805,139.3,89.2
DEEP-017A,835,143.4,89.4
DEEP-017A,865,153.9,89.6
DEEP-017A,895,91.1,89.8
DEEP-017A,925,296.6,86.8
DEEP-017A,926.1,296.6,86.8
DEEP-018,0,39.794,60.24
DEEP-018,273.4,39.794,60.24
DEEP-018A,0,74.606,59.98
DEEP-018A,30,51.6,61.9
DEEP-018A,60,56.8,62.8
DEEP-018A,90,56.9,62.9
DEEP-018A,120,56.4,62.9
DEEP-018A,150,56.8,63
DEEP-018A,180,57.3,63
DEEP-018A,221.7,57.3,63
DEEP-019,0,79.778,60.875
DEEP-019,137,79.778,60.875
DEEP-019A,0,97.271,58.09
DEEP-019A,90,96.3,61.2
DEEP-019A,120,97,61.8
DEEP-019A,150,97.1,61.6
DEEP-019A,180,97.4,62.1
DEEP-019A,210,97.3,62.2
DEEP-019A,240,96.8,62.5
DEEP-019A,270,97.1,62.3
DEEP-019A,300,96.8,62.3
DEEP-019A,330,96.9,62.4
DEEP-019A,360,96.5,62.5
DEEP-019A,390,97,62.2
DEEP-019A,420,96.2,61.9
DEEP-019A,450,96.5,62
DEEP-019A,480,95.6,62
DEEP-019A,510,96.1,61.8
DEEP-019A,540,97.1,62
DEEP-019A,554.3,97.1,62
DEEP-020,0,82.922,59.352
DEEP-020,100.1,82.922,59.352
DEEP-020A,0,0,90
DEEP-020A,60,235.2,89.2
DEEP-020A,90,218.2,89.4
DEEP-020A,120,233.2,89.1
DEEP-020A,150,226.8,89
DEEP-020A,180,247.4,89.5
DEEP-020A,210,226.6,89.1
DEEP-020A,240,221.9,89.1
DEEP-020A,292,218.2,88.9
DEEP-020A,322,217.5,89.2
DEEP-020A,352,251.8,89
DEEP-020A,382,255.3,89.4
DEEP-020A,412,254.7,89
DEEP-020A,442,265.7,89.3
DEEP-020A,472,262.2,89.1
DEEP-020A,502.1,280.2,89.2
DEEP-021,0,324.227,60.997
DEEP-021,40,322.9,62
DEEP-021,70,322.3,61.8
DEEP-021,100,323.3,62.1
DEEP-021,130,323.6,62.3
DEEP-021,160,323.4,62.6
DEEP-021,190,323.7,62.7
DEEP-021,210,325.4,62.9
DEEP-021,240,325.6,62.8
DEEP-021,270,324.8,63.3
DEEP-021,300,325.2,63.2
DEEP-021,330,324.3,63.6
DEEP-021,360,323.5,63.9
DEEP-021,390,323.8,64.3
DEEP-021,420,323.2,63.7
DEEP-021,450,323.9,64
DEEP-021,480,323,64.5
DEEP-021,510,323.5,64.2
DEEP-021,540,323.3,64.7
DEEP-021,570,323.2,64.6
DEEP-021,572.3,323.2,64.6
DEEP-022,0,0,90
DEEP-022,61,325.1,89.8
DEEP-022,91,341.1,89.7
DEEP-022,121,257,89.8
DEEP-022,151,320.6,89.5
DEEP-022,181,305.3,89.7
DEEP-022,211,283.4,89.5
DEEP-022,241,317.7,89.5
DEEP-022,270,260.8,89.6
DEEP-022,300,259,89.3
DEEP-022,330,274.2,89.8
DEEP-022,360,292.6,89.2
DEEP-022,390,291.1,89.8
DEEP-022,420,250.1,89.2
DEEP-022,450,298.5,89.5
DEEP-022,480,226.2,89.2
DEEP-022,485.2,226.2,89.2
DEEP-023,0,0,90
DEEP-023,85.1,0,90
DEEP-023A,0,0,90
DEEP-023A,360,300.2,88.9
DEEP-023A,390,291.2,88.9
DEEP-023A,420,289.5,88.8
DEEP-023A,450,295.7,88.9
